ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q2386870,Q2386870,,,,,,,,,,,,,,,,
,Q2526517,Q2526517,,,,,,,,,,,,,,,,
,Q44584399,Cabinet Wever-Croes I,,,,,,,,,,,Q108714621,Cabinet Wever-Croes II,,,,
,Q57076099,2nd Eman Cabinet,,,,,,,,,,,,,,,,
,Q57076101,3rd Eman Cabinet,,,,,,,,,,,,,,,,
,Q57076103,2nd Oduber Cabinet,,,,,,,,,,,,,,,,
,Q57340195,1st Eman Cabinet,,,,,,,,,,,,,,,,
,Q57603601,1st Oduber Cabinet,1989-02-09,11,,,1993-01-08,11,,,,,,,,,,
,Q1898401,First Eman Cabinet,2009-10-31,11,,,2013-10-30,11,,,,,,,,,,
,Q16070410,Second Eman Cabinet,2013-10-31,11,,,2017-11-16,11,,,,,,,,,,
,Q108714621,Cabinet Wever-Croes II,,,2021-08-09,11,,,,,Q44584399,Cabinet Wever-Croes I,,,,,,
